"Centro Nacional de Control de Energia"
"Cantidades Asignadas de Energia Electrica y Servicios Conexos en el MDA por PM"
"Sistema Baja California"
"Reporte Diario"
"Fecha: 24/sep/2025"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 23/sep/2025 13:26:58 hrs"
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Participante"," Hora"," Cantidad total de energia asignada (MWh)"," Reserva de Regulacion (MW)"," Reserva Rodante de 10 minutos (MW)"," Reserva No Rodante de 10 minutos (MW)"," Reserva Rodante Suplementaria (MW)"," Reserva No Rodante Suplementaria (MW)"
"G009","1","15","0","0","0","0","0"
"G009","2","15","0","0","0","0","0"
"G009","3","15","0","0","0","0","0"
"G009","4","15","0","0","0","0","0"
"G009","5","15","0","0","0","0","0"
"G009","6","15","0","0","0","0","0"
"G009","7","15","0","0","0","0","0"
"G009","8","15","0","0","0","0","0"
"G009","9","15","0","0","0","0","0"
"G009","10","15","0","0","0","0","0"
"G009","11","15","0","0","0","0","0"
"G009","12","15","0","0","0","0","0"
"G009","13","15","0","0","0","0","0"
"G009","14","15","0","0","0","0","0"
"G009","15","15","0","0","0","0","0"
"G009","16","15","0","0","0","0","0"
"G009","17","15","0","0","0","0","0"
"G009","18","15","0","0","0","0","0"
"G009","19","15","0","0","0","0","0"
"G009","20","15","0","0","0","0","0"
"G009","21","15","0","0","0","0","0"
"G009","22","15","0","0","0","0","0"
"G009","23","15","0","0","0","0","0"
"G009","24","15","0","0","0","0","0"
"G012","1","1182.95","10","70.5","179.5","2","0"
"G012","2","1112.693","10","71.1","178.9","2","0"
"G012","3","1033.068","10","70.5","179.5","2","0"
"G012","4","968.644","10","70.5","179.5","0","2"
"G012","5","933.214","10","77.87","172.13","0","2"
"G012","6","928.616","10","81.7","168.3","0","2"
"G012","7","990.583","10","80.5","169.5","0","2"
"G012","8","1132.809","10","80","170","2","0"
"G012","9","1245.443","10","81.17","168.83","2","0"
"G012","10","1325.083","10","81.67","168.33","2","0"
"G012","11","1383.3","10","83.5","166.5","2","0"
"G012","12","1606.27","10","80.5","169.5","2","0"
"G012","13","1633.077","10","79.64","173.98","2","0"
"G012","14","1635.312","10","78.21","184.54","2","0"
"G012","15","1824.431","10","90","183.09","2","0"
"G012","16","1862.616","10","90","188.81","2","0"
"G012","17","1855.792","10","105.37","173","2","0"
"G012","18","1888.91","10","101.85","173","2","0"
"G012","19","1880.05","10","92.61","173","2","0"
"G012","20","1821.26","10","91.4","173","2","0"
"G012","21","1827.64","10","85.02","173","2","0"
"G012","22","1774.967","10","132.91","117.09","2","0"
"G012","23","1630.502","10","140.81","109.19","2","0"
"G012","24","1478.271","10","84.56","165.44","2","0"
"G014","1","709","15","59","0","0","0"
"G014","2","709","15","59","0","0","0"
"G014","3","709","15","59","0","0","0"
"G014","4","709","15","59","0","0","0"
"G014","5","709","15","59","0","0","0"
"G014","6","709","15","59","0","0","0"
"G014","7","709","15","59","0","0","0"
"G014","8","696.5","27.5","59","0","0","0"
"G014","9","696.5","27.5","59","0","0","0"
"G014","10","696.5","27.5","59","0","0","0"
"G014","11","696.5","27.5","59","0","0","0"
