"Centro Nacional de Control de Energia"
"Programa de Generacion de las Unidades representadas por el Generador de Intermediacion (GI) (Calculo ExPost)(No incluye importacion)"
"Sistema Interconectado Baja California"
"Reporte diario"
"Fecha: 10/jul/2025"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 08/sep/2025 01:20:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Datos horarios:"
"Codigo"," Hora"," Potencia Media (MW)"
"IXB2U5BFS612619","1","         20.081"
"IXB2U5BFS612619","2","         20.299"
"IXB2U5BFS612619","3","         20.330"
"IXB2U5BFS612619","4","         20.328"
"IXB2U5BFS612619","5","         20.356"
"IXB2U5BFS612619","6","         18.999"
"IXB2U5BFS612619","7","         15.474"
"IXB2U5BFS612619","8","         15.249"
"IXB2U5BFS612619","9","          4.086"
"IXB2U5BFS612619","10","          0.000"
"IXB2U5BFS612619","11","          0.000"
"IXB2U5BFS612619","12","          0.000"
"IXB2U5BFS612619","13","          1.456"
"IXB2U5BFS612619","14","          1.205"
"IXB2U5BFS612619","15","          5.985"
"IXB2U5BFS612619","16","          6.991"
"IXB2U5BFS612619","17","          0.000"
"IXB2U5BFS612619","18","          5.155"
"IXB2U5BFS612619","19","         10.733"
"IXB2U5BFS612619","20","          7.791"
"IXB2U5BFS612619","21","         17.296"
"IXB2U5BFS612619","22","         16.170"
"IXB2U5BFS612619","23","         15.348"
"IXB2U5BFS612619","24","         15.782"
"IXB2U6NAY8J3EQR","1","          0.000"
"IXB2U6NAY8J3EQR","2","          0.000"
"IXB2U6NAY8J3EQR","3","          0.000"
"IXB2U6NAY8J3EQR","4","          0.000"
"IXB2U6NAY8J3EQR","5","          0.000"
"IXB2U6NAY8J3EQR","6","          0.000"
"IXB2U6NAY8J3EQR","7","          0.000"
"IXB2U6NAY8J3EQR","8","          0.000"
"IXB2U6NAY8J3EQR","9","          0.000"
"IXB2U6NAY8J3EQR","10","          0.000"
"IXB2U6NAY8J3EQR","11","          0.000"
"IXB2U6NAY8J3EQR","12","          0.000"
"IXB2U6NAY8J3EQR","13","          0.000"
"IXB2U6NAY8J3EQR","14","          0.000"
"IXB2U6NAY8J3EQR","15","          0.000"
"IXB2U6NAY8J3EQR","16","          0.000"
"IXB2U6NAY8J3EQR","17","          0.000"
"IXB2U6NAY8J3EQR","18","          0.000"
"IXB2U6NAY8J3EQR","19","          0.000"
"IXB2U6NAY8J3EQR","20","          0.000"
"IXB2U6NAY8J3EQR","21","          0.000"
"IXB2U6NAY8J3EQR","22","          0.000"
"IXB2U6NAY8J3EQR","23","          0.000"
"IXB2U6NAY8J3EQR","24","          0.000"
"IXB2U9RA2TYVPBU","1","          0.000"
"IXB2U9RA2TYVPBU","2","          0.000"
"IXB2U9RA2TYVPBU","3","          0.000"
"IXB2U9RA2TYVPBU","4","          0.000"
"IXB2U9RA2TYVPBU","5","          0.000"
"IXB2U9RA2TYVPBU","6","          0.000"
"IXB2U9RA2TYVPBU","7","          0.000"
"IXB2U9RA2TYVPBU","8","          0.000"
"IXB2U9RA2TYVPBU","9","          0.000"
"IXB2U9RA2TYVPBU","10","          0.000"
"IXB2U9RA2TYVPBU","11","          0.000"
"IXB2U9RA2TYVPBU","12","          0.000"
"IXB2U9RA2TYVPBU","13","          0.000"
"IXB2U9RA2TYVPBU","14","          0.000"
"IXB2U9RA2TYVPBU","15","          0.000"
"IXB2U9RA2TYVPBU","16","          0.000"
"IXB2U9RA2TYVPBU","17","          0.000"
"IXB2U9RA2TYVPBU","18","          0.000"
"IXB2U9RA2TYVPBU","19","          0.000"
"IXB2U9RA2TYVPBU","20","          0.000"
"IXB2U9RA2TYVPBU","21","          0.000"
"IXB2U9RA2TYVPBU","22","          0.000"
"IXB2U9RA2TYVPBU","23","          0.000"
"IXB2U9RA2TYVPBU","24","          0.000"
"IXB2UN1PPHAO770","1","          0.000"
"IXB2UN1PPHAO770","2","          0.000"
"IXB2UN1PPHAO770","3","          0.000"
"IXB2UN1PPHAO770","4","          0.000"
"IXB2UN1PPHAO770","5","          0.000"
"IXB2UN1PPHAO770","6","          0.000"
"IXB2UN1PPHAO770","7","          0.000"
"IXB2UN1PPHAO770","8","          0.000"
"IXB2UN1PPHAO770","9","          0.000"
"IXB2UN1PPHAO770","10","          0.000"
"IXB2UN1PPHAO770","11","          0.000"
"IXB2UN1PPHAO770","12","          0.000"
"IXB2UN1PPHAO770","13","          0.000"
"IXB2UN1PPHAO770","14","          0.000"
"IXB2UN1PPHAO770","15","          0.000"
"IXB2UN1PPHAO770","16","          0.000"
"IXB2UN1PPHAO770","17","          0.000"
"IXB2UN1PPHAO770","18","          0.000"
"IXB2UN1PPHAO770","19","          0.000"
"IXB2UN1PPHAO770","20","          0.000"
"IXB2UN1PPHAO770","21","          0.000"
"IXB2UN1PPHAO770","22","          0.000"
"IXB2UN1PPHAO770","23","          0.000"
"IXB2UN1PPHAO770","24","          0.000"
"IXB2UZW366YIPXP","1","         20.172"
"IXB2UZW366YIPXP","2","         20.128"
"IXB2UZW366YIPXP","3","         20.211"
"IXB2UZW366YIPXP","4","         20.201"
"IXB2UZW366YIPXP","5","         20.254"
"IXB2UZW366YIPXP","6","         20.117"
"IXB2UZW366YIPXP","7","         20.064"
"IXB2UZW366YIPXP","8","         19.881"
"IXB2UZW366YIPXP","9","         19.767"
"IXB2UZW366YIPXP","10","         19.691"
"IXB2UZW366YIPXP","11","         19.539"
"IXB2UZW366YIPXP","12","         19.558"
"IXB2UZW366YIPXP","13","         19.553"
"IXB2UZW366YIPXP","14","         19.441"
"IXB2UZW366YIPXP","15","         19.387"
"IXB2UZW366YIPXP","16","         19.478"
"IXB2UZW366YIPXP","17","         19.490"
"IXB2UZW366YIPXP","18","         19.499"
"IXB2UZW366YIPXP","19","         19.637"
"IXB2UZW366YIPXP","20","         19.719"
"IXB2UZW366YIPXP","21","         19.762"
"IXB2UZW366YIPXP","22","         19.731"
"IXB2UZW366YIPXP","23","         19.721"
"IXB2UZW366YIPXP","24","         19.644"
