"Centro Nacional de Control de Energia"
"Programa de Generacion de las Unidades representadas por el Generador de Intermediacion (GI) (Calculo ExPost)(No incluye importacion)"
"Sistema Interconectado Baja California Sur"
"Reporte diario"
"Fecha: 10/jul/2025"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 08/sep/2025 01:20:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Datos horarios:"
"Codigo"," Hora"," Potencia Media (MW)"
"IXB2UGN34LMVL9U","1","          0.000"
"IXB2UGN34LMVL9U","2","          0.000"
"IXB2UGN34LMVL9U","3","          0.000"
"IXB2UGN34LMVL9U","4","          0.000"
"IXB2UGN34LMVL9U","5","          0.000"
"IXB2UGN34LMVL9U","6","          0.000"
"IXB2UGN34LMVL9U","7","          0.979"
"IXB2UGN34LMVL9U","8","          8.869"
"IXB2UGN34LMVL9U","9","         17.897"
"IXB2UGN34LMVL9U","10","         26.850"
"IXB2UGN34LMVL9U","11","         28.999"
"IXB2UGN34LMVL9U","12","         29.063"
"IXB2UGN34LMVL9U","13","         29.076"
"IXB2UGN34LMVL9U","14","         29.142"
"IXB2UGN34LMVL9U","15","         28.888"
"IXB2UGN34LMVL9U","16","         27.370"
"IXB2UGN34LMVL9U","17","         18.344"
"IXB2UGN34LMVL9U","18","         11.813"
"IXB2UGN34LMVL9U","19","          0.559"
"IXB2UGN34LMVL9U","20","          0.000"
"IXB2UGN34LMVL9U","21","          0.000"
"IXB2UGN34LMVL9U","22","          0.000"
"IXB2UGN34LMVL9U","23","          0.000"
"IXB2UGN34LMVL9U","24","          0.000"
"IXB2UJ9TJP18GD7","1","          0.000"
"IXB2UJ9TJP18GD7","2","          0.000"
"IXB2UJ9TJP18GD7","3","          0.000"
"IXB2UJ9TJP18GD7","4","          0.000"
"IXB2UJ9TJP18GD7","5","          0.000"
"IXB2UJ9TJP18GD7","6","          0.000"
"IXB2UJ9TJP18GD7","7","          0.613"
"IXB2UJ9TJP18GD7","8","          5.904"
"IXB2UJ9TJP18GD7","9","         13.285"
"IXB2UJ9TJP18GD7","10","         19.246"
"IXB2UJ9TJP18GD7","11","         23.099"
"IXB2UJ9TJP18GD7","12","         24.111"
"IXB2UJ9TJP18GD7","13","         24.163"
"IXB2UJ9TJP18GD7","14","         24.213"
"IXB2UJ9TJP18GD7","15","         23.627"
"IXB2UJ9TJP18GD7","16","         19.868"
"IXB2UJ9TJP18GD7","17","         12.813"
"IXB2UJ9TJP18GD7","18","          8.183"
"IXB2UJ9TJP18GD7","19","          0.548"
"IXB2UJ9TJP18GD7","20","          0.000"
"IXB2UJ9TJP18GD7","21","          0.000"
"IXB2UJ9TJP18GD7","22","          0.000"
"IXB2UJ9TJP18GD7","23","          0.000"
"IXB2UJ9TJP18GD7","24","          0.000"
