"Centro Nacional de Control de Energia"
"Programa de Generacion de las Unidades representadas por el Generador de Intermediacion (GI) (Calculo ExPost)(No incluye importacion)					"
"Sistema Interconectado Nacional"
"Reporte diario"
"Fecha: 10/jul/2025"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 08/sep/2025 01:20:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Datos horarios:"
"Codigo"," Hora"," Potencia Media (MW)"
"IXB2U02CWU1MD7M","1","         34.300"
"IXB2U02CWU1MD7M","2","         34.300"
"IXB2U02CWU1MD7M","3","         34.300"
"IXB2U02CWU1MD7M","4","         34.300"
"IXB2U02CWU1MD7M","5","         34.300"
"IXB2U02CWU1MD7M","6","         34.300"
"IXB2U02CWU1MD7M","7","         34.300"
"IXB2U02CWU1MD7M","8","         34.300"
"IXB2U02CWU1MD7M","9","         34.300"
"IXB2U02CWU1MD7M","10","         34.300"
"IXB2U02CWU1MD7M","11","         34.300"
"IXB2U02CWU1MD7M","12","         34.300"
"IXB2U02CWU1MD7M","13","         34.300"
"IXB2U02CWU1MD7M","14","         34.300"
"IXB2U02CWU1MD7M","15","         34.300"
"IXB2U02CWU1MD7M","16","         34.300"
"IXB2U02CWU1MD7M","17","         34.300"
"IXB2U02CWU1MD7M","18","         34.300"
"IXB2U02CWU1MD7M","19","         34.300"
"IXB2U02CWU1MD7M","20","         34.300"
"IXB2U02CWU1MD7M","21","         34.300"
"IXB2U02CWU1MD7M","22","         34.300"
"IXB2U02CWU1MD7M","23","         34.300"
"IXB2U02CWU1MD7M","24","         34.300"
"IXB2U06MFJNJB2R","1","         46.197"
"IXB2U06MFJNJB2R","2","         50.597"
"IXB2U06MFJNJB2R","3","         48.786"
"IXB2U06MFJNJB2R","4","         53.053"
"IXB2U06MFJNJB2R","5","         49.966"
"IXB2U06MFJNJB2R","6","         50.816"
"IXB2U06MFJNJB2R","7","         46.788"
"IXB2U06MFJNJB2R","8","         40.720"
"IXB2U06MFJNJB2R","9","         43.280"
"IXB2U06MFJNJB2R","10","         42.432"
"IXB2U06MFJNJB2R","11","         43.335"
"IXB2U06MFJNJB2R","12","         52.237"
"IXB2U06MFJNJB2R","13","         55.232"
"IXB2U06MFJNJB2R","14","         59.227"
"IXB2U06MFJNJB2R","15","         61.139"
"IXB2U06MFJNJB2R","16","         60.239"
"IXB2U06MFJNJB2R","17","         60.622"
"IXB2U06MFJNJB2R","18","         56.562"
"IXB2U06MFJNJB2R","19","         54.795"
"IXB2U06MFJNJB2R","20","         59.145"
"IXB2U06MFJNJB2R","21","         58.151"
"IXB2U06MFJNJB2R","22","         57.329"
"IXB2U06MFJNJB2R","23","         59.719"
"IXB2U06MFJNJB2R","24","         58.084"
"IXB2U08U6BAQNWZ","1","         25.794"
"IXB2U08U6BAQNWZ","2","         41.867"
"IXB2U08U6BAQNWZ","3","         52.514"
"IXB2U08U6BAQNWZ","4","         45.638"
"IXB2U08U6BAQNWZ","5","         37.326"
"IXB2U08U6BAQNWZ","6","         40.679"
"IXB2U08U6BAQNWZ","7","         36.831"
"IXB2U08U6BAQNWZ","8","         27.898"
"IXB2U08U6BAQNWZ","9","         27.068"
"IXB2U08U6BAQNWZ","10","         32.240"
"IXB2U08U6BAQNWZ","11","         32.101"
"IXB2U08U6BAQNWZ","12","         36.573"
"IXB2U08U6BAQNWZ","13","         37.186"
"IXB2U08U6BAQNWZ","14","         38.174"
"IXB2U08U6BAQNWZ","15","         38.723"
"IXB2U08U6BAQNWZ","16","         41.095"
"IXB2U08U6BAQNWZ","17","         30.986"
"IXB2U08U6BAQNWZ","18","         32.817"
"IXB2U08U6BAQNWZ","19","         24.694"
"IXB2U08U6BAQNWZ","20","         20.356"
"IXB2U08U6BAQNWZ","21","         12.158"
"IXB2U08U6BAQNWZ","22","         12.128"
"IXB2U08U6BAQNWZ","23","         10.958"
"IXB2U08U6BAQNWZ","24","         15.151"
"IXB2U0JRJZ0JPY7","1","          0.000"
"IXB2U0JRJZ0JPY7","2","          0.000"
"IXB2U0JRJZ0JPY7","3","          0.000"
"IXB2U0JRJZ0JPY7","4","          0.000"
"IXB2U0JRJZ0JPY7","5","          0.000"
"IXB2U0JRJZ0JPY7","6","          0.000"
"IXB2U0JRJZ0JPY7","7","          0.000"
"IXB2U0JRJZ0JPY7","8","          4.308"
"IXB2U0JRJZ0JPY7","9","          8.649"
"IXB2U0JRJZ0JPY7","10","          9.980"
"IXB2U0JRJZ0JPY7","11","          8.547"
"IXB2U0JRJZ0JPY7","12","          9.261"
"IXB2U0JRJZ0JPY7","13","          8.903"
"IXB2U0JRJZ0JPY7","14","          5.413"
"IXB2U0JRJZ0JPY7","15","          3.459"
"IXB2U0JRJZ0JPY7","16","          0.535"
"IXB2U0JRJZ0JPY7","17","          0.000"
"IXB2U0JRJZ0JPY7","18","          0.000"
"IXB2U0JRJZ0JPY7","19","          0.000"
"IXB2U0JRJZ0JPY7","20","          0.000"
"IXB2U0JRJZ0JPY7","21","          0.000"
"IXB2U0JRJZ0JPY7","22","          0.000"
"IXB2U0JRJZ0JPY7","23","          0.000"
"IXB2U0JRJZ0JPY7","24","          0.000"
"IXB2U0KYDSS2ESQ","1","        182.000"
"IXB2U0KYDSS2ESQ","2","        182.000"
"IXB2U0KYDSS2ESQ","3","        182.000"
"IXB2U0KYDSS2ESQ","4","        182.000"
"IXB2U0KYDSS2ESQ","5","        182.000"
"IXB2U0KYDSS2ESQ","6","        182.000"
"IXB2U0KYDSS2ESQ","7","        182.000"
"IXB2U0KYDSS2ESQ","8","        182.000"
"IXB2U0KYDSS2ESQ","9","        182.000"
"IXB2U0KYDSS2ESQ","10","        182.000"
"IXB2U0KYDSS2ESQ","11","        182.000"
"IXB2U0KYDSS2ESQ","12","        182.000"
"IXB2U0KYDSS2ESQ","13","        182.000"
"IXB2U0KYDSS2ESQ","14","        182.000"
"IXB2U0KYDSS2ESQ","15","        182.000"
"IXB2U0KYDSS2ESQ","16","        182.000"
"IXB2U0KYDSS2ESQ","17","        182.000"
"IXB2U0KYDSS2ESQ","18","        182.000"
"IXB2U0KYDSS2ESQ","19","        182.000"
"IXB2U0KYDSS2ESQ","20","        182.000"
"IXB2U0KYDSS2ESQ","21","        182.000"
"IXB2U0KYDSS2ESQ","22","        182.000"
"IXB2U0KYDSS2ESQ","23","        182.000"
"IXB2U0KYDSS2ESQ","24","        182.000"
"IXB2U0OPAFOJS2P","1","          0.000"
"IXB2U0OPAFOJS2P","2","          0.000"
"IXB2U0OPAFOJS2P","3","          0.000"
"IXB2U0OPAFOJS2P","4","          0.000"
"IXB2U0OPAFOJS2P","5","          0.000"
"IXB2U0OPAFOJS2P","6","          0.000"
"IXB2U0OPAFOJS2P","7","          0.000"
"IXB2U0OPAFOJS2P","8","          0.000"
"IXB2U0OPAFOJS2P","9","          0.000"
"IXB2U0OPAFOJS2P","10","          0.000"
"IXB2U0OPAFOJS2P","11","          0.000"
"IXB2U0OPAFOJS2P","12","          0.000"
"IXB2U0OPAFOJS2P","13","          0.000"
"IXB2U0OPAFOJS2P","14","          0.000"
"IXB2U0OPAFOJS2P","15","          0.000"
"IXB2U0OPAFOJS2P","16","          0.000"
"IXB2U0OPAFOJS2P","17","          0.000"
"IXB2U0OPAFOJS2P","18","          0.000"
"IXB2U0OPAFOJS2P","19","          0.000"
"IXB2U0OPAFOJS2P","20","          0.000"
"IXB2U0OPAFOJS2P","21","          0.000"
"IXB2U0OPAFOJS2P","22","          0.000"
"IXB2U0OPAFOJS2P","23","          0.000"
"IXB2U0OPAFOJS2P","24","          0.000"
"IXB2U0PTDCCNXQK","1","         51.667"
"IXB2U0PTDCCNXQK","2","         55.846"
"IXB2U0PTDCCNXQK","3","         52.307"
"IXB2U0PTDCCNXQK","4","         62.148"
"IXB2U0PTDCCNXQK","5","         58.696"
"IXB2U0PTDCCNXQK","6","         61.501"
"IXB2U0PTDCCNXQK","7","         54.381"
"IXB2U0PTDCCNXQK","8","         38.671"
"IXB2U0PTDCCNXQK","9","         47.680"
"IXB2U0PTDCCNXQK","10","         45.759"
"IXB2U0PTDCCNXQK","11","         48.600"
"IXB2U0PTDCCNXQK","12","         62.284"
"IXB2U0PTDCCNXQK","13","         61.560"
"IXB2U0PTDCCNXQK","14","         67.030"
"IXB2U0PTDCCNXQK","15","         73.887"
"IXB2U0PTDCCNXQK","16","         66.464"
"IXB2U0PTDCCNXQK","17","         70.531"
"IXB2U0PTDCCNXQK","18","         65.705"
"IXB2U0PTDCCNXQK","19","         62.137"
"IXB2U0PTDCCNXQK","20","         70.414"
"IXB2U0PTDCCNXQK","21","         68.232"
"IXB2U0PTDCCNXQK","22","         67.296"
"IXB2U0PTDCCNXQK","23","         71.564"
"IXB2U0PTDCCNXQK","24","         67.641"
"IXB2U0VU0S2OQ4H","1","        151.979"
"IXB2U0VU0S2OQ4H","2","        203.342"
"IXB2U0VU0S2OQ4H","3","        187.872"
"IXB2U0VU0S2OQ4H","4","        107.937"
"IXB2U0VU0S2OQ4H","5","        165.322"
"IXB2U0VU0S2OQ4H","6","        193.382"
"IXB2U0VU0S2OQ4H","7","        201.297"
"IXB2U0VU0S2OQ4H","8","        196.056"
"IXB2U0VU0S2OQ4H","9","        199.794"
"IXB2U0VU0S2OQ4H","10","        198.781"
"IXB2U0VU0S2OQ4H","11","        194.466"
"IXB2U0VU0S2OQ4H","12","        187.683"
"IXB2U0VU0S2OQ4H","13","        159.884"
"IXB2U0VU0S2OQ4H","14","        149.186"
"IXB2U0VU0S2OQ4H","15","        149.166"
"IXB2U0VU0S2OQ4H","16","        165.492"
"IXB2U0VU0S2OQ4H","17","        166.130"
"IXB2U0VU0S2OQ4H","18","        168.331"
"IXB2U0VU0S2OQ4H","19","        149.804"
"IXB2U0VU0S2OQ4H","20","        184.642"
"IXB2U0VU0S2OQ4H","21","        175.947"
"IXB2U0VU0S2OQ4H","22","        141.254"
"IXB2U0VU0S2OQ4H","23","        106.849"
"IXB2U0VU0S2OQ4H","24","        101.676"
"IXB2U1GWEWMZL0W","1","          0.000"
"IXB2U1GWEWMZL0W","2","          0.000"
"IXB2U1GWEWMZL0W","3","          0.000"
"IXB2U1GWEWMZL0W","4","          0.000"
"IXB2U1GWEWMZL0W","5","          0.000"
"IXB2U1GWEWMZL0W","6","          0.000"
"IXB2U1GWEWMZL0W","7","          0.000"
"IXB2U1GWEWMZL0W","8","          0.000"
"IXB2U1GWEWMZL0W","9","          0.000"
"IXB2U1GWEWMZL0W","10","          0.000"
"IXB2U1GWEWMZL0W","11","          0.000"
"IXB2U1GWEWMZL0W","12","          0.000"
"IXB2U1GWEWMZL0W","13","          0.000"
"IXB2U1GWEWMZL0W","14","          0.000"
"IXB2U1GWEWMZL0W","15","          0.000"
"IXB2U1GWEWMZL0W","16","          0.000"
"IXB2U1GWEWMZL0W","17","          0.000"
"IXB2U1GWEWMZL0W","18","          0.000"
"IXB2U1GWEWMZL0W","19","          0.000"
"IXB2U1GWEWMZL0W","20","          0.000"
"IXB2U1GWEWMZL0W","21","          0.000"
"IXB2U1GWEWMZL0W","22","          0.000"
"IXB2U1GWEWMZL0W","23","          0.000"
"IXB2U1GWEWMZL0W","24","          0.000"
"IXB2U1RZA7O140F","1","         27.444"
"IXB2U1RZA7O140F","2","         18.675"
"IXB2U1RZA7O140F","3","         19.917"
"IXB2U1RZA7O140F","4","         23.526"
"IXB2U1RZA7O140F","5","          8.343"
"IXB2U1RZA7O140F","6","          5.540"
"IXB2U1RZA7O140F","7","          8.582"
"IXB2U1RZA7O140F","8","         17.739"
"IXB2U1RZA7O140F","9","         18.446"
"IXB2U1RZA7O140F","10","         22.992"
"IXB2U1RZA7O140F","11","         29.388"
"IXB2U1RZA7O140F","12","         34.273"
"IXB2U1RZA7O140F","13","         38.059"
"IXB2U1RZA7O140F","14","         39.827"
"IXB2U1RZA7O140F","15","         45.318"
"IXB2U1RZA7O140F","16","         44.988"
"IXB2U1RZA7O140F","17","         43.767"
"IXB2U1RZA7O140F","18","         37.640"
"IXB2U1RZA7O140F","19","         27.852"
"IXB2U1RZA7O140F","20","         30.180"
"IXB2U1RZA7O140F","21","         26.631"
"IXB2U1RZA7O140F","22","         27.027"
"IXB2U1RZA7O140F","23","         39.264"
"IXB2U1RZA7O140F","24","         31.596"
"IXB2U20D1POVJ9H","1","        318.564"
"IXB2U20D1POVJ9H","2","        320.042"
"IXB2U20D1POVJ9H","3","        319.400"
"IXB2U20D1POVJ9H","4","        318.856"
"IXB2U20D1POVJ9H","5","        319.065"
"IXB2U20D1POVJ9H","6","        319.548"
"IXB2U20D1POVJ9H","7","        318.807"
"IXB2U20D1POVJ9H","8","        317.861"
"IXB2U20D1POVJ9H","9","        315.721"
"IXB2U20D1POVJ9H","10","        314.083"
"IXB2U20D1POVJ9H","11","        310.818"
"IXB2U20D1POVJ9H","12","        306.965"
"IXB2U20D1POVJ9H","13","        304.162"
"IXB2U20D1POVJ9H","14","        301.496"
"IXB2U20D1POVJ9H","15","        299.142"
"IXB2U20D1POVJ9H","16","        298.536"
"IXB2U20D1POVJ9H","17","        296.982"
"IXB2U20D1POVJ9H","18","        301.952"
"IXB2U20D1POVJ9H","19","        304.097"
"IXB2U20D1POVJ9H","20","        303.703"
"IXB2U20D1POVJ9H","21","        308.192"
"IXB2U20D1POVJ9H","22","        310.113"
"IXB2U20D1POVJ9H","23","        310.568"
"IXB2U20D1POVJ9H","24","        310.340"
"IXB2U20T3UPCW4W","1","          0.000"
"IXB2U20T3UPCW4W","2","          0.000"
"IXB2U20T3UPCW4W","3","          0.000"
"IXB2U20T3UPCW4W","4","          0.000"
"IXB2U20T3UPCW4W","5","          0.000"
"IXB2U20T3UPCW4W","6","          0.000"
"IXB2U20T3UPCW4W","7","          0.000"
"IXB2U20T3UPCW4W","8","          0.000"
"IXB2U20T3UPCW4W","9","          0.000"
"IXB2U20T3UPCW4W","10","          0.000"
"IXB2U20T3UPCW4W","11","          0.000"
"IXB2U20T3UPCW4W","12","          0.000"
"IXB2U20T3UPCW4W","13","          0.000"
"IXB2U20T3UPCW4W","14","          0.000"
"IXB2U20T3UPCW4W","15","          0.000"
