"Centro Nacional de Control de Energia"
"Energia de Importacion y Exportacion Liquidada"
"Sistema Baja California"
"Reporte Diario"
"Dia de Operacion: 09/jun/2025"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 23/jun/2025 00:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema"
"Sistema"," Liquidacion"," Enlace Internacional"," Hora"," Importacion Comercial (MWh)"," Importacion por Pago de Energia Inadvertida (MWh)"," Importacion por Confiabilidad (MWh)"," Importacion de los CIL (MWh)"," Importacion Total (MWh)"," Exportacion Comercial (MWh)"," Exportacion por Cobro de Energia Inadvertida (MWh)"," Exportacion por Confiabilidad (MWh)"," Exportacion de los CIL (MWh)"," Exportacion Total (MWh)"," Fecha de Actualizacion"
"BCA","0","ARIZONA PUBLIC SERVICE","1","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","ARIZONA PUBLIC SERVICE","2","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","ARIZONA PUBLIC SERVICE","3","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","ARIZONA PUBLIC SERVICE","4","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","ARIZONA PUBLIC SERVICE","5","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","ARIZONA PUBLIC SERVICE","6","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","ARIZONA PUBLIC SERVICE","7","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","ARIZONA PUBLIC SERVICE","8","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","ARIZONA PUBLIC SERVICE","9","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","ARIZONA PUBLIC SERVICE","10","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","ARIZONA PUBLIC SERVICE","11","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","ARIZONA PUBLIC SERVICE","12","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","ARIZONA PUBLIC SERVICE","13","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
