"Centro Nacional de Control de Energia"
"Energia de Importacion y Exportacion Liquidada"
"Sistema Interconectado Nacional"
"Reporte Diario"
"Dia de Operacion: 09/jun/2025"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 23/jun/2025 00:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema"
"Sistema"," Liquidacion"," Enlace Internacional"," Hora"," Importacion Comercial (MWh)"," Importacion por Pago de Energia Inadvertida (MWh)"," Importacion por Confiabilidad (MWh)"," Importacion de los CIL (MWh)"," Importacion Total (MWh)"," Exportacion Comercial (MWh)"," Exportacion por Cobro de Energia Inadvertida (MWh)"," Exportacion por Confiabilidad (MWh)"," Exportacion de los CIL (MWh)"," Exportacion Total (MWh)"," Fecha de Actualizacion"
"SIN","0","BROWNSVILLE","1","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","BROWNSVILLE","2","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","BROWNSVILLE","3","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","BROWNSVILLE","4","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","BROWNSVILLE","5","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","BROWNSVILLE","6","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","BROWNSVILLE","7","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","BROWNSVILLE","8","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","BROWNSVILLE","9","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","BROWNSVILLE","10","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","BROWNSVILLE","11","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","BROWNSVILLE","12","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","BROWNSVILLE","13","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","BROWNSVILLE","14","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","BROWNSVILLE","15","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","BROWNSVILLE","16","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","BROWNSVILLE","17","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","BROWNSVILLE","18","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","BROWNSVILLE","19","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","BROWNSVILLE","20","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","BROWNSVILLE","21","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","BROWNSVILLE","22","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","BROWNSVILLE","23","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","BROWNSVILLE","24","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","CD INDUSTRIAL - LAREDO AMER","1","52","0","0","0","52","0","0.4326","0","0","0.4326","23-Jun-2025 00:00:00"
"SIN","0","CD INDUSTRIAL - LAREDO AMER","2","52","0","0","0","52","0","1.30969","0","0","1.30969","23-Jun-2025 00:00:00"
"SIN","0","CD INDUSTRIAL - LAREDO AMER","3","30","0","0","0","30","0","0.35908","0","0","0.35908","23-Jun-2025 00:00:00"
"SIN","0","CD INDUSTRIAL - LAREDO AMER","4","30","0","0","0","30","0","0.56385","0","0","0.56385","23-Jun-2025 00:00:00"
"SIN","0","CD INDUSTRIAL - LAREDO AMER","5","30","0","0","0","30","0","0.5651","0","0","0.5651","23-Jun-2025 00:00:00"
"SIN","0","CD INDUSTRIAL - LAREDO AMER","6","0","0.97176","0","0","0.97176","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","CD INDUSTRIAL - LAREDO AMER","7","20","0","0","0","20","0","0.57974","0","0","0.57974","23-Jun-2025 00:00:00"
"SIN","0","CD INDUSTRIAL - LAREDO AMER","8","20","0","0","0","20","0","0.56318","0","0","0.56318","23-Jun-2025 00:00:00"
"SIN","0","CD INDUSTRIAL - LAREDO AMER","9","20","0","0","0","20","0","1.11097","0","0","1.11097","23-Jun-2025 00:00:00"
"SIN","0","CD INDUSTRIAL - LAREDO AMER","10","0","0","0","0","0","0","0.33724","0","0","0.33724","23-Jun-2025 00:00:00"
"SIN","0","CD INDUSTRIAL - LAREDO AMER","11","20","0","0","0","20","0","0.63627","0","0","0.63627","23-Jun-2025 00:00:00"
"SIN","0","CD INDUSTRIAL - LAREDO AMER","12","20","0","0","0","20","0","1.18633","0","0","1.18633","23-Jun-2025 00:00:00"
"SIN","0","CD INDUSTRIAL - LAREDO AMER","13","0","0.02016","0","0","0.02016","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","CD INDUSTRIAL - LAREDO AMER","14","20","0","0","0","20","0","0.4843","0","0","0.4843","23-Jun-2025 00:00:00"
"SIN","0","CD INDUSTRIAL - LAREDO AMER","15","20","0","0","0","20","0","0.47131","0","0","0.47131","23-Jun-2025 00:00:00"
"SIN","0","CD INDUSTRIAL - LAREDO AMER","16","20","0","0","0","20","0","0.46986","0","0","0.46986","23-Jun-2025 00:00:00"
"SIN","0","CD INDUSTRIAL - LAREDO AMER","17","20","0","0","0","20","0","0.27872","0","0","0.27872","23-Jun-2025 00:00:00"
"SIN","0","CD INDUSTRIAL - LAREDO AMER","18","30","0","0","0","30","0","0.59702","0","0","0.59702","23-Jun-2025 00:00:00"
"SIN","0","CD INDUSTRIAL - LAREDO AMER","19","32","0.19932","0","0","32.19932","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","CD INDUSTRIAL - LAREDO AMER","20","70","0","0","0","70","0","1.4879","0","0","1.4879","23-Jun-2025 00:00:00"
"SIN","0","CD INDUSTRIAL - LAREDO AMER","21","70","0","0","0","70","0","0.98942","0","0","0.98942","23-Jun-2025 00:00:00"
"SIN","0","CD INDUSTRIAL - LAREDO AMER","22","70","0","0","0","70","0","0.97026","0","0","0.97026","23-Jun-2025 00:00:00"
"SIN","0","CD INDUSTRIAL - LAREDO AMER","23","70","0","0","0","70","0","1.3648","0","0","1.3648","23-Jun-2025 00:00:00"
"SIN","0","CD INDUSTRIAL - LAREDO AMER","24","57","0","0","0","57","0","0.96707","0","0","0.96707","23-Jun-2025 00:00:00"
"SIN","0","CUMBRES FRONTERA - RAIL ROAD","1","20","0.23743","0","0","20.23743","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","CUMBRES FRONTERA - RAIL ROAD","2","20","0.21568","0","0","20.21568","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","CUMBRES FRONTERA - RAIL ROAD","3","20","0.21584","0","0","20.21584","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","CUMBRES FRONTERA - RAIL ROAD","4","0","3.28502","0","0","3.28502","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","CUMBRES FRONTERA - RAIL ROAD","5","0","0","0","0","0","0","0.09974","0","0","0.09974","23-Jun-2025 00:00:00"
"SIN","0","CUMBRES FRONTERA - RAIL ROAD","6","0","0","0","0","0","0","0.10042","0","0","0.10042","23-Jun-2025 00:00:00"
"SIN","0","CUMBRES FRONTERA - RAIL ROAD","7","0","0","0","0","0","0","0.09969","0","0","0.09969","23-Jun-2025 00:00:00"
"SIN","0","CUMBRES FRONTERA - RAIL ROAD","8","0","0","0","0","0","0","0.09649","0","0","0.09649","23-Jun-2025 00:00:00"
"SIN","0","CUMBRES FRONTERA - RAIL ROAD","9","0","0","0","0","0","0","0.09404","0","0","0.09404","23-Jun-2025 00:00:00"
"SIN","0","CUMBRES FRONTERA - RAIL ROAD","10","0","0","0","0","0","0","0.0933","0","0","0.0933","23-Jun-2025 00:00:00"
"SIN","0","CUMBRES FRONTERA - RAIL ROAD","11","0","0","0","0","0","0","0.09126","0","0","0.09126","23-Jun-2025 00:00:00"
"SIN","0","CUMBRES FRONTERA - RAIL ROAD","12","0","0","0","0","0","0","0.09082","0","0","0.09082","23-Jun-2025 00:00:00"
"SIN","0","CUMBRES FRONTERA - RAIL ROAD","13","0","0","0","0","0","0","0.09147","0","0","0.09147","23-Jun-2025 00:00:00"
"SIN","0","CUMBRES FRONTERA - RAIL ROAD","14","0","0","0","0","0","0","0.09013","0","0","0.09013","23-Jun-2025 00:00:00"
"SIN","0","CUMBRES FRONTERA - RAIL ROAD","15","0","0","0","0","0","0","0.09008","0","0","0.09008","23-Jun-2025 00:00:00"
"SIN","0","CUMBRES FRONTERA - RAIL ROAD","16","0","0","0","0","0","0","0.09045","0","0","0.09045","23-Jun-2025 00:00:00"
"SIN","0","CUMBRES FRONTERA - RAIL ROAD","17","0","0","0","0","0","0","0.09101","0","0","0.09101","23-Jun-2025 00:00:00"
"SIN","0","CUMBRES FRONTERA - RAIL ROAD","18","0","0","0","0","0","0","0.09181","0","0","0.09181","23-Jun-2025 00:00:00"
"SIN","0","CUMBRES FRONTERA - RAIL ROAD","19","0","0.05155","0","0","0.05155","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","CUMBRES FRONTERA - RAIL ROAD","20","20","0.17585","0","0","20.17585","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","CUMBRES FRONTERA - RAIL ROAD","21","40","0","0","0","40","0","0.44228","0","0","0.44228","23-Jun-2025 00:00:00"
"SIN","0","CUMBRES FRONTERA - RAIL ROAD","22","20","0.20768","0","0","20.20768","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","CUMBRES FRONTERA - RAIL ROAD","23","24","0.04925","0","0","24.04925","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","CUMBRES FRONTERA - RAIL ROAD","24","20","0.19686","0","0","20.19686","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","MILITARY HIGHWAY","1","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","MILITARY HIGHWAY","2","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","MILITARY HIGHWAY","3","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","MILITARY HIGHWAY","4","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","MILITARY HIGHWAY","5","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","MILITARY HIGHWAY","6","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","MILITARY HIGHWAY","7","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","MILITARY HIGHWAY","8","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","MILITARY HIGHWAY","9","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","MILITARY HIGHWAY","10","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","MILITARY HIGHWAY","11","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
